,Data,Dij,Origin,Destination,Oi,Dj,Bj,Ai,OldAi,OldBj,diff,beta,SIM_Estimates
14,87987,2242,2,8,1874320,1067069,1.010102057703877,4.765307408522644e-05,4.765307408522644e-05,1.010102057703877,3.914590546735743e-07,-0.9055833,89564.33684057965
15,268458,2996,2,9,1874320,2143172,1.7754870587429994,4.765307408522644e-05,4.765307408522644e-05,1.7754870587429994,1.2750256654358778e-06,-0.9055833,243330.15740370678
16,87267,1009,3,1,2134267,676308,0.6846852637136016,5.04369410300371e-05,5.04369410300371e-05,0.6846852637136016,2.6256590127695707e-07,-0.9055833,95528.8164399634
17,237229,831,3,2,2134267,1155811,0.8759830255317219,5.04369410300371e-05,5.04369410300371e-05,0.8759830255317219,7.227582197548383e-07,-0.9055833,249080.4355460821
18,281791,505,3,4,2134267,942162,0.792170441145301,5.04369410300371e-05,5.04369410300371e-05,0.792170441145301,4.3486895731349113e-07,-0.9055833,288274.6094270592
19,551483,1019,3,5,2134267,2484387,1.0320919986208497,5.04369410300371e-05,5.04369410300371e-05,1.0320919986208497,1.2897154171922064e-06,-0.9055833,524576.9191917024
20,230788,662,3,6,2134267,819222,0.7068738905903461,5.04369410300371e-05,5.04369410300371e-05,0.7068738905903461,3.4114269850058847e-07,-0.9055833,175018.60598053708
21,178517,933,3,7,2134267,1237079,0.9285171134201669,5.04369410300371e-05,5.04369410300371e-05,0.9285171134201669,5.098202912252006e-07,-0.9055833,254523.76819370958
22,172711,1451,3,8,2134267,1067069,1.010102057703877,5.04369410300371e-05,5.04369410300371e-05,1.010102057703877,3.914590546735743e-07,-0.9055833,160101.53059563553
23,394481,2205,3,9,2134267,2143172,1.7754870587429994,5.04369410300371e-05,5.04369410300371e-05,1.7754870587429994,1.2750256654358778e-06,-0.9055833,387162.3146253631
24,29877,1514,4,1,1213005,676308,0.6846852637136016,4.373177402197048e-05,4.373177402197048e-05,0.6846852637136016,2.6256590127695707e-07,-0.9055833,32596.239044655642
25,60681,1336,4,2,1213005,1155811,0.8759830255317219,4.373177402197048e-05,4.373177402197048e-05,0.8759830255317219,7.227582197548383e-07,-0.9055833,79842.05814681466
26,286580,505,4,3,1213005,1789112,0.8988084578078159,4.373177402197048e-05,4.373177402197048e-05,0.8988084578078159,1.2738144659323843e-06,-0.9055833,306080.9186709887
27,143860,1370,4,5,1213005,2484387,1.0320919986208497,4.373177402197048e-05,4.373177402197048e-05,1.0320919986208497,1.2897154171922064e-06,-0.9055833,197709.72358754047
28,49892,888,4,6,1213005,819222,0.7068738905903461,4.373177402197048e-05,4.373177402197048e-05,0.7068738905903461,3.4114269850058847e-07,-0.9055833,66099.910677149
29,185618,654,4,7,1213005,1237079,0.9285171134201669,4.373177402197048e-05,4.373177402197048e-05,0.9285171134201669,5.098202912252006e-07,-0.9055833,173018.16334425524
30,181868,946,4,8,1213005,1067069,1.010102057703877,4.373177402197048e-05,4.373177402197048e-05,1.010102057703877,3.914590546735743e-07,-0.9055833,116214.33485619295
31,274629,1700,4,9,1213005,2143172,1.7754870587429994,4.373177402197048e-05,4.373177402197048e-05,1.7754870587429994,1.2750256654358778e-06,-0.9055833,241443.65167241017
32,130830,974,5,1,1765650,676308,0.6846852637136016,6.433370426688752e-05,6.433370426688752e-05,0.6846852637136016,2.6256590127695707e-07,-0.9055833,104091.64808532776
33,382565,755,5,2,1765650,1155811,0.8759830255317219,6.433370426688752e-05,6.433370426688752e-05,0.8759830255317219,7.227582197548383e-07,-0.9055833,286719.83948172035
34,346407,1019,5,3,1765650,1789112,0.8988084578078159,6.433370426688752e-05,6.433370426688752e-05,0.8988084578078159,1.2738144659323843e-06,-0.9055833,347142.7049636005
35,92308,1370,5,4,1765650,942162,0.792170441145301,6.433370426688752e-05,6.433370426688752e-05,0.792170441145301,4.3486895731349113e-07,-0.9055833,123224.49022246824
36,252189,482,5,6,1765650,819222,0.7068738905903461,6.433370426688752e-05,6.433370426688752e-05,0.7068738905903461,3.4114269850058847e-07,-0.9055833,246195.67387707037
37,192223,1144,5,7,1765650,1237079,0.9285171134201669,6.433370426688752e-05,6.433370426688752e-05,0.9285171134201669,5.098202912252006e-07,-0.9055833,223326.84044769945
38,89389,2278,5,8,1765650,1067069,1.010102057703877,6.433370426688752e-05,6.433370426688752e-05,1.010102057703877,3.914590546735743e-07,-0.9055833,112305.49333151574
39,279739,2862,5,9,1765650,2143172,1.7754870587429994,6.433370426688752e-05,6.433370426688752e-05,1.7754870587429994,1.2750256654358778e-06,-0.9055833,322643.30959071184
40,21434,1268,6,1,986050,676308,0.6846852637136016,3.828634702095165e-05,3.828634702095165e-05,0.6846852637136016,2.6256590127695707e-07,-0.9055833,27233.505884599344
41,53772,1049,6,2,986050,1155811,0.8759830255317219,3.828634702095165e-05,3.828634702095165e-05,0.8759830255317219,7.227582197548383e-07,-0.9055833,70720.63738866938
42,287340,662,6,3,986050,1789112,0.8988084578078159,3.828634702095165e-05,3.828634702095165e-05,0.8988084578078159,1.2738144659323843e-06,-0.9055833,170439.4153421472
43,49828,888,6,4,986050,942162,0.792170441145301,3.828634702095165e-05,3.828634702095165e-05,0.792170441145301,4.3486895731349113e-07,-0.9055833,60625.70811311076
44,316650,482,6,5,986050,2484387,1.0320919986208497,3.828634702095165e-05,3.828634702095165e-05,1.0320919986208497,1.2897154171922064e-06,-0.9055833,362299.19384395087
45,141679,662,6,7,986050,1237079,0.9285171134201669,3.828634702095165e-05,3.828634702095165e-05,0.9285171134201669,5.098202912252006e-07,-0.9055833,121761.54335674718
46,27409,1795,6,8,986050,1067069,1.010102057703877,3.828634702095165e-05,3.828634702095165e-05,1.010102057703877,3.914590546735743e-07,-0.9055833,46296.773203078585
47,87938,2380,6,9,986050,2143172,1.7754870587429994,3.828634702095165e-05,3.828634702095165e-05,1.7754870587429994,1.2750256654358778e-06,-0.9055833,126673.22286766098
48,30287,1795,7,1,1146498,676308,0.6846852637136016,5.182866972903264e-05,5.182866972903264e-05,0.6846852637136016,2.6256590127695707e-07,-0.9055833,31302.40263892963
49,64645,1576,7,2,1146498,1155811,0.8759830255317219,5.182866972903264e-05,5.182866972903264e-05,0.8759830255317219,7.227582197548383e-07,-0.9055833,77023.64453859246
50,161645,933,7,3,1146498,1789112,0.8988084578078159,5.182866972903264e-05,5.182866972903264e-05,0.8988084578078159,1.2738144659323843e-06,-0.9055833,196690.90333111465
51,144980,654,7,4,1146498,942162,0.792170441145301,5.182866972903264e-05,5.182866972903264e-05,0.792170441145301,4.3486895731349113e-07,-0.9055833,125926.68313038169
52,199466,1144,7,5,1146498,2484387,1.0320919986208497,5.182866972903264e-05,5.182866972903264e-05,1.0320919986208497,1.2897154171922064e-06,-0.9055833,260794.2352825089
53,121366,662,7,6,1146498,819222,0.7068738905903461,5.182866972903264e-05,5.182866972903264e-05,0.7068738905903461,3.4114269850058847e-07,-0.9055833,96622.94257688477
54,134229,1287,7,8,1146498,1067069,1.010102057703877,5.182866972903264e-05,5.182866972903264e-05,1.010102057703877,3.914590546735743e-07,-0.9055833,98528.60460893382
55,289880,1779,7,9,1146498,2143172,1.7754870587429994,5.182866972903264e-05,5.182866972903264e-05,1.7754870587429994,1.2750256654358778e-06,-0.9055833,259608.58389272675
56,21450,2420,8,1,987331,676308,0.6846852637136016,5.164439234639922e-05,5.164439234639922e-05,0.6846852637136016,2.6256590127695707e-07,-0.9055833,20492.950768646417
57,43749,2242,8,2,987331,1155811,0.8759830255317219,5.164439234639922e-05,5.164439234639922e-05,0.8759830255317219,7.227582197548383e-07,-0.9055833,48031.3731584426
